system,model_id,backend,setting,language,row_id,question,gold_answer,gold_chunk_id,generated_answer,judge_legal_correctness,judge_evidence_support,judge_completeness,judge_clarity,judge_hallucination
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,16,Жерді заңсыз пайдаланған жағдайда салық мөлшерлемесі қанша есеге ұлғайтылады?,Он есеге ұлғайтылады.,733,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b43-2283400949156ff821b25398;f0a08d6c-67f9-48be-a580-2d5e2d37d4b4)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,17,Жер қойнауын пайдаланушы бөлек салықтық есепке алуды қалай жүргізуге міндетті?,Жер қойнауын пайдаланушы бөлек салықтық есепке алуды салықтық есепке алу саясатында бекітілген тәртіпке сәйкес жүргізуге міндетті.,981,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b44-44aca67f2f650c7c6d61b170;247bb464-c990-41af-9471-0423b3295b3d)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,18,Патент негізіндегі арнаулы салық режимін қолдану үшін қандай шарттар орындалуы керек?,"Патент негізіндегі арнаулы салық режимін қолдану үшін жұмыскерлердің еңбегін пайдаланбайтын, қызметін жеке кәсіпкерлік нысанында жүзеге асыратын және белгілі бір қызмет түрлерімен айналысатын шағын бизнес субъектілері болуы керек.",933,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b44-68710aad1d63218e4dedbec6;31f314d3-9d38-4e1f-a178-66335f3835dc)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,19,Мерзімінде орындалмаған салықтық міндеттеме бойынша пайдалы қазбалардың физикалық көлемі қалай айқындалады?,Мерзімінде орындалмаған салықтық міндеттеме бойынша пайдалы қазбалардың физикалық көлемі салықтық кезең үшін берілуге жататын және іс жүзінде берілген пайдалы қазбалардың физикалық көлемі арасындағы айырма ретінде айқындалады.,1041,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b44-5f7a945a0360e1b1073144dd;4ebab682-edcf-4f5c-b303-2f790e558c7e)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,20,Еуразиялық экономикалық одақта тауарларды экспорттау мен импорттау кезінде қосылған құн салығы қалай реттеледі?,Еуразиялық экономикалық одақта тауарларды экспорттау мен импорттау кезінде қосылған құн салығы халықаралық шарттар негізінде реттеледі және салықтық әкімшілендіру жүзеге асырылады.,653,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b45-274f4c096f96a76e06891eb5;e1448fc9-9bbc-4057-a6a5-1740fd973930)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,21,Жайылымдар жемдерінің қоры қанша күнге жетеді?,Жайылымдар жемдерінің қоры ұзақтығы 170-180 күн болатын жайылым кезеңінде пайдаланылады.,220,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b45-0efec003371b15010f9b200c;f10229f5-bbdc-4e09-9101-ead5fe0966ae)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,22,Қайта өңдеу туралы келісім жобасына сараптамалар қанша күн ішінде жүргізіледі?,Сараптамалар қажетті құжаттар алынған күннен бастап 30 күн ішінде жүргізіледі.,360,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b46-5a6714e027621c580d20cc29;7d98f3d6-9839-4c6a-854b-65e62b9710c0)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,23,Кен іздеушілікке арналған лицензия қанша уақытқа беріледі және оны ұзарту мүмкін бе?,Кен іздеушілікке арналған лицензия үш жыл мерзімге беріледі және оны бір рет үш жылға ұзартуға болады.,380,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b46-60cd439b400e06fd0180fb6d;a8722731-5feb-4ec9-8eb5-01c2b7d75108)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,24,KAZAKH INVEST қандай жаңа қызметті іске қосуды жоспарлап отыр?,KAZAKH INVEST инвестициялаудан кейінгі мониторингтеудің жаңа сервисін іске қосуды жоспарлап отыр.,51,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b46-7cc28c342a013bd7740762f7;940fb902-6509-4397-b6f4-0a7cd9a6b7d7)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,25,"Шетелдік басшылар, менеджерлер мен мамандардың саны қандай шектеулерге бағынады?","Шетелдік басшылар, менеджерлер мен мамандардың саны әрбір тиісті санат бойынша жалпы санының елу пайызынан көп болмауға тиіс.",238,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b47-62f76eca5e73825e1df4b882;b0a549c2-7f2d-4cef-a6ef-895252f7acdd)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,26,Теміржол көлігінің қызметкерлерін кәсіби дайындау мен оқыту жүйесін жетілдіруде қандай аспектілер ескерілуі керек?,"Жаңа техника, технологиялар және менеджмент құралдарының енгізілуін ескеру қажет.",72,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b47-46b9826071300ed777d2ec79;c54d6581-851a-4b88-9762-d29121d16c8b)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,27,Құрылыс салу қағидалары мен жас екпелерді қорғау қағидаларын кім бекітеді?,Құрылыс салу қағидалары мен жас екпелерді қорғау қағидаларын мәслихат бекітеді.,486,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b47-7a2b810c4c3c94d117341c54;b04ea40d-4358-4446-b5c3-0a323d7a2539)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,28,Пайдалы қазбаларды өндіру салығы бойынша салықтық міндеттемелер қалай қайта есептеледі?,Рентабельділіктің ішкі нормасының деңгейі он бес пайыздан асқан барлық жыл үшін салықтық міндеттемелер қайта есептеледі және төртінші тоқсандағы салықтық декларацияда көрсетіледі.,1023,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b48-44a3c5e61a9285183f0b400b;ce729d1f-ef85-4a28-8791-9866dadde267)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,29,2022 жылғы заңға сәйкес 529-бап қашан қолданысқа енгізіледі?,2024 жылдан бастап қолданысқа енгізіледі.,760,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b48-40d5f2847d582d395f5a8f5e;017265c4-505f-4c05-9f2a-8a83dc289f21)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,30,Жер учаскелері бойынша төлемақы мөлшерлемелері қандай заңнамаға сәйкес айқындалады?,Қазақстан Республикасының жер заңнамасына сәйкес айқындалады.,786,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b49-145b87f17679618e0acca1c1;ac5a1a93-2c27-4ac0-9ae5-c267145c71e1)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,31,Кең таралған пайдалы қазбаларды барлауға арналған сарапшылық комиссиялардың негізгі міндеті қандай?,Кең таралған пайдалы қазбаларды барлауға немесе өндіруге арналған жер қойнауын пайдалану мәселелері жөніндегі сарапшылық комиссиялардың негізгі міндеті - жергілікті атқарушы органдарға ұсыныстар әзірлеу.,481,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b49-29e8ff8f4044aaf5600c2cde;f3f4631d-fb66-484f-adea-fb46d5d7e2ef)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
