question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,System
TEST_0006,36,moderate,definition,labor_law,1,1.0,1.0,1,1,23.329500042694114,52,52,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0002,37,simple,deadline,migration_law,0,0.5,0.6309297535714575,1,1,25.557101308668855,5,53,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0015,38,simple,deadline,family_law,1,1.0,1.3868528072345416,1,1,64.4677252567457,64,64,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0014,39,simple,definition,family_law,1,1.0,1.0,1,1,24.3078723600357,36,36,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0013,40,simple,deadline,family_law,0,0.3333333333333333,0.5,1,1,34.92679583170304,275,308,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0012,41,moderate,deadline,labor_law,0,0.3333333333333333,0.5,1,1,47.81178771750436,9,86,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0032,42,moderate,deadline,other,1,1.0,1.0,1,1,18.757278153402687,849,849,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0009,43,moderate,deadline,labor_law,0,0.0,0.0,1,1,26.864466624734025,81,80,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0023,44,simple,deadline,other,1,1.0,1.0,1,1,32.42040449219218,78,78,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0022,45,simple,deadline,other,0,0.0,0.0,1,1,35.28845072617855,26,34,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0021,46,simple,deadline,family_law,0,0.1111111111111111,0.3010299956639812,1,1,27.97555527974214,61,74,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0020,47,simple,deadline,family_law,1,1.0,1.0,1,1,53.58974699973377,55,55,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0018,48,simple,deadline,family_law,1,1.0,1.0,1,1,18.883298370046727,44,44,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0017,49,simple,deadline,family_law,0,0.0,0.0,0,0,18.291814145991957,2,463,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0028,50,simple,deadline,other,0,0.0,0.0,0,0,15.297034691290067,24,441,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0031,51,moderate,deadline,other,1,1.0,1.0,1,1,37.295851931601604,75,75,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0030,52,moderate,deadline,other,0,0.5,0.6309297535714575,1,1,18.338695030980993,51,507,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0029,53,moderate,definition,other,1,1.0,1.0,1,1,50.270411952179046,373,373,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0026,54,simple,deadline,other,1,1.0,1.0,1,1,46.97467949696947,103,103,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0027,55,simple,deadline,other,1,1.0,1.0,1,1,46.13664828683162,94,94,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0025,56,simple,deadline,other,0,0.5,0.6309297535714575,1,1,39.72330181721592,20,82,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0129,57,complex,deadline,family_law,0,0.25,0.43067655807339306,1,1,67.53278996139956,123,108,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0143,58,moderate,deadline,family_law,1,1.0,1.0,1,1,69.18100708927437,590,590,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0141,59,moderate,deadline,family_law,1,1.0,1.0,1,1,33.885801169586074,298,298,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0140,60,moderate,deadline,family_law,0,0.0,0.0,0,0,15.404093587042324,0,328,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0139,61,moderate,deadline,family_law,0,0.25,0.43067655807339306,1,1,40.389626620418746,0,63,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0152,62,complex,definition,civil_law,1,1.0,1.0,1,1,43.13217066249156,963,963,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0151,63,complex,deadline,civil_law,0,0.2,0.38685280723454163,1,1,17.169599674608634,797,386,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0149,64,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,50.16447069913888,70,560,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0148,65,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,49.77910709721024,987,986,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0146,66,moderate,deadline,family_law,0,0.0,0.0,0,0,18.145676974448612,747,471,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0145,67,moderate,deadline,family_law,1,1.0,1.0,1,1,52.08404593945294,620,620,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0160,68,simple,deadline,civil_law,1,1.0,1.0,1,1,85.04903802280101,353,353,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0157,69,complex,definition,social_law,1,1.0,1.0,1,1,34.33114291363041,1044,1044,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0156,70,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,51.47072027366357,583,999,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0155,71,complex,deadline,civil_law,1,1.0,1.0,1,1,49.18237998904445,994,994,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0154,72,complex,deadline,civil_law,1,1.0,1.0,1,1,45.719545263058286,290,290,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0153,73,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,17.631176327362184,86,93,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0104,74,moderate,definition,tax_law,0,0.14285714285714285,0.3333333333333333,1,1,19.850504644450712,19,710,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0103,75,moderate,deadline,tax_law,0,0.0,0.0,0,0,20.768318493131176,11,24,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0102,76,moderate,definition,tax_law,0,0.0,0.0,0,0,14.067072024364002,310,766,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0099,77,simple,deadline,administrative_law,0,0.0,0.0,1,0,18.759316865694608,84,225,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0098,78,simple,deadline,administrative_law,0,0.2,0.38685280723454163,1,1,29.357434455470834,63,57,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0112,79,moderate,deadline,civil_law,0,0.3333333333333333,0.5,1,1,78.09796568744098,269,270,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0111,80,moderate,definition,civil_law,0,0.5,0.6309297535714575,1,1,29.830607823248027,64,126,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0110,81,moderate,definition,tax_law,0,0.25,0.43067655807339306,1,1,44.67485538723378,275,357,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0109,82,moderate,deadline,tax_law,0,0.25,0.43067655807339306,1,1,51.074195730923506,1013,1002,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0108,83,moderate,deadline,tax_law,0,0.5,0.6309297535714575,1,1,47.092105084548166,72,639,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0107,84,moderate,fact_lookup,tax_law,0,0.5,0.6309297535714575,1,1,19.17974833643343,538,753,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0106,85,moderate,deadline,tax_law,0,0.5,0.6309297535714575,1,1,50.35098987056879,524,683,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0105,86,moderate,deadline,tax_law,1,1.0,1.0,1,1,62.396402360539675,768,768,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0119,87,moderate,deadline,civil_law,0,0.1111111111111111,0.3010299956639812,1,1,34.14004418079534,564,537,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0116,88,moderate,deadline,civil_law,0,0.25,0.43067655807339306,1,1,59.54616436093847,76,109,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0115,89,moderate,deadline,civil_law,0,0.1111111111111111,0.3010299956639812,1,1,40.98313909789009,669,671,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0184,90,complex,deadline,tax_law,0,0.0,0.0,1,1,28.395696257941687,1030,954,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0131,91,complex,deadline,family_law,1,1.0,1.0,1,1,57.0164477730432,306,306,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0132,92,complex,deadline,family_law,1,1.0,1.0,1,1,37.409287411147915,846,846,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0133,93,complex,deadline,family_law,1,1.0,1.0,1,1,45.37595222908544,845,845,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0135,94,complex,deadline,family_law,1,1.0,1.0,1,1,50.205777134890376,364,364,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0136,95,complex,definition,family_law,0,0.5,0.6309297535714575,1,1,58.206751254945836,521,478,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0188,96,moderate,deadline,other,1,1.0,1.0,1,1,21.017373686592947,873,873,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0189,97,complex,deadline,tax_law,1,1.0,1.0,1,1,104.17560689928148,857,857,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0190,98,complex,definition,civil_law,0,0.125,0.31546487678572877,1,1,33.24744934651999,1010,1003,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0191,99,moderate,deadline,tax_law,1,1.0,1.0,1,1,50.816549840370705,950,950,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0177,100,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,37.72164086338926,56,713,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0178,101,complex,deadline,civil_law,1,1.0,1.0,1,1,129.4253407519586,255,255,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0180,102,complex,deadline,tax_law,0,0.3333333333333333,0.5,1,1,62.70797567616731,36,799,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0181,103,complex,deadline,civil_law,1,1.0,1.0,1,1,40.33261189004339,511,511,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0182,104,complex,deadline,civil_law,0,0.1111111111111111,0.3010299956639812,1,1,23.249582026101468,71,104,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0183,105,moderate,deadline,civil_law,0,0.2,0.38685280723454163,1,1,67.53278996139956,123,79,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0162,106,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,40.21388142414829,633,720,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0169,107,moderate,definition,civil_law,0,0.25,0.43067655807339306,1,1,46.259208515412595,362,359,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0170,108,moderate,deadline,other,0,0.125,0.31546487678572877,1,1,15.108169007485076,210,621,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0171,109,moderate,definition,tax_law,1,1.0,1.0,1,1,37.44217465020434,1050,1050,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0172,110,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,28.841579182036305,608,395,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0173,111,complex,definition,tax_law,1,1.0,1.0,1,1,46.07897790424169,974,974,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0174,112,simple,definition,tax_law,1,1.0,1.0,1,1,29.638733255362308,618,618,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0161,113,simple,fact_lookup,civil_law,1,1.0,1.0,1,1,53.58128271853819,429,429,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0167,114,moderate,deadline,civil_law,1,1.0,1.0,1,1,28.163653046682324,583,583,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0164,115,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,25.91674249013525,298,321,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0165,116,simple,deadline,civil_law,0,0.0,0.0,0,0,17.56177864830735,306,432,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0166,117,complex,deadline,civil_law,1,1.0,1.0,1,1,57.80168406574113,609,609,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0094,118,simple,deadline,labor_law,1,1.0,1.0,1,1,60.564268968988145,87,87,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0093,119,simple,deadline,labor_law,0,0.1111111111111111,0.3010299956639812,1,1,17.60195582974625,42,99,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0095,120,simple,deadline,labor_law,0,0.25,0.43067655807339306,1,1,30.818689404156608,81,73,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0193,121,moderate,deadline,civil_law,1,1.0,1.0,1,1,37.324103092908416,56,56,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0208,122,moderate,fact_lookup,civil_law,0,0.0,0.0,1,1,22.467120501301277,896,900,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0206,123,moderate,deadline,civil_law,0,0.0,0.0,1,1,28.46047177167835,399,556,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0205,124,complex,definition,tax_law,0,0.16666666666666666,0.3562071871080222,1,1,31.192514543885018,1031,1033,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0204,125,complex,deadline,tax_law,0,0.2,0.38685280723454163,1,1,23.333246088596606,249,712,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0203,126,simple,deadline,civil_law,0,0.25,0.43067655807339306,1,1,16.056897842140128,399,337,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0201,127,moderate,deadline,tax_law,0,0.25,0.43067655807339306,1,1,26.073634035556246,146,252,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0216,128,moderate,deadline,tax_law,1,1.0,1.0,1,1,82.94996437501092,774,774,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0214,129,complex,definition,tax_law,0,0.0,0.0,1,1,16.645076453213363,478,830,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0213,130,complex,deadline,civil_law,1,1.0,1.0,1,1,59.044448693533454,584,584,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0212,131,complex,definition,civil_law,0,0.5,0.6309297535714575,1,1,56.178413742311115,669,755,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0211,132,complex,deadline,civil_law,1,1.0,1.0,1,1,44.24782086134818,889,889,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0209,133,simple,definition,civil_law,1,1.0,1.0,1,1,44.54041144129967,571,571,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0223,134,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,54.424095060738956,277,287,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0222,135,complex,deadline,tax_law,0,0.0,0.0,1,1,26.163426133528898,588,1001,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0220,136,simple,definition,civil_law,0,0.0,0.0,1,1,42.895718793818084,18,232,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0219,137,complex,definition,civil_law,1,1.0,1.0,1,1,33.90345117020406,829,829,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0218,138,complex,definition,tax_law,1,1.0,1.0,1,1,43.80191332091122,882,882,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0072,139,complex,deadline,other,0,0.0,0.0,1,1,16.77353826367728,207,625,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0071,140,complex,definition,other,1,1.0,1.0,1,1,27.264975326611598,460,460,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0070,141,complex,deadline,other,1,1.0,1.0,1,1,62.778445293058255,839,839,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0069,142,complex,deadline,other,1,1.0,1.0,1,1,19.33033580335264,615,615,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0080,143,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,35.048905984979584,36,931,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0079,144,complex,deadline,migration_law,0,0.0,0.0,1,1,55.00074736160384,8,832,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0078,145,complex,deadline,migration_law,0,0.16666666666666666,0.3562071871080222,1,1,15.059027619730248,23,847,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0077,146,complex,deadline,migration_law,1,1.0,1.0,1,1,35.13292405945448,597,597,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0076,147,complex,deadline,migration_law,0,0.0,0.0,1,1,25.976339233314654,119,850,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0075,148,complex,deadline,migration_law,0,0.0,0.0,1,1,43.491240207432874,114,365,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0074,149,complex,deadline,migration_law,1,1.0,1.0,1,1,30.170247748869947,42,42,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0073,150,moderate,deadline,administrative_law,0,0.3333333333333333,0.5,1,1,36.52822696881107,895,896,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0088,151,complex,definition,tax_law,0,0.0,0.0,1,1,27.92567414022804,537,1046,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0083,152,complex,definition,tax_law,1,1.0,1.0,1,1,47.584660368656166,707,707,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0081,153,complex,deadline,tax_law,1,1.0,1.0,1,1,32.463861126149034,926,926,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0034,154,moderate,deadline,other,1,1.0,1.0,1,1,15.79785299517891,436,436,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0194,155,complex,deadline,civil_law,1,1.0,1.0,1,1,64.7758133201337,505,505,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0195,156,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,22.532817972655508,636,724,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0197,157,moderate,definition,civil_law,1,1.0,1.0,1,1,45.12124765285224,315,315,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0200,158,moderate,deadline,tax_law,1,1.0,1.0,1,1,62.21348906402041,946,946,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0061,159,complex,deadline,labor_law,1,1.0,1.0,1,1,40.26444959864444,461,461,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0232,160,moderate,deadline,civil_law,0,0.3333333333333333,0.5,1,1,29.562889675194317,6,89,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0059,161,moderate,deadline,social_law,1,1.0,1.0,1,1,29.899756435572346,1045,1045,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0239,162,simple,deadline,civil_law,1,1.0,1.0,1,1,54.41771234304656,594,594,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0225,163,moderate,deadline,civil_law,0,0.5,0.6309297535714575,1,1,40.137339735600456,57,119,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0228,164,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,42.734523813565964,907,885,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0229,165,complex,definition,civil_law,0,0.5,0.6309297535714575,1,1,55.21699515669181,510,669,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0231,166,moderate,definition,tax_law,1,1.0,1.0,1,1,33.60843054931944,1049,1049,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0233,167,moderate,deadline,labor_law,1,1.0,1.0,1,1,28.77947702834085,81,81,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0238,168,complex,definition,civil_law,0,0.25,0.43067655807339306,1,1,21.136543010656197,105,336,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0236,169,complex,deadline,tax_law,0,0.3333333333333333,0.5,1,1,31.179882300889105,860,862,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0045,170,simple,definition,civil_law,1,1.0,1.0,1,1,51.138259112374,985,985,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0033,171,moderate,deadline,other,0,0.3333333333333333,0.5,1,1,15.059027619730248,23,464,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0047,172,simple,deadline,civil_law,0,0.0,0.0,1,0,36.12060639337059,111,543,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0001,173,simple,definition,migration_law,0,0.2,0.38685280723454163,1,1,24.489635715659222,296,39,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
