question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10
TEST_0013,40,simple,deadline,family_law,0,0.0,0.0,1,1,0.6291425228118896,123,308,0.0,0.0,0.0,0.0
TEST_0012,41,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.671032190322876,71,86,0.0,0.0,0.0,0.0
TEST_0032,42,moderate,deadline,other,0,0.2,0.38685280723454163,1,1,0.8350383043289185,945,849,0.0,0.0,1.0,1.0
TEST_0009,43,moderate,deadline,labor_law,0,0.25,0.43067655807339306,1,1,0.6797688007354736,18,80,0.0,0.0,1.0,1.0
TEST_0023,44,simple,deadline,other,0,0.0,0.0,1,1,0.726566731929779,107,78,0.0,0.0,0.0,0.0
TEST_0022,45,simple,deadline,other,0,0.2,0.38685280723454163,1,1,0.8089796304702759,25,34,0.0,0.0,1.0,1.0
TEST_0021,46,simple,deadline,family_law,0,0.0,0.0,1,1,0.7448443174362183,7,74,0.0,0.0,0.0,0.0
TEST_0020,47,simple,deadline,family_law,0,0.0,0.0,0,0,0.6444075107574463,22,55,0.0,0.0,0.0,0.0
TEST_0018,48,simple,deadline,family_law,0,0.0,0.0,1,1,0.8052664995193481,58,44,0.0,0.0,0.0,0.0
TEST_0017,49,simple,deadline,family_law,0,0.0,0.0,0,0,0.7695193290710449,7,463,0.0,0.0,0.0,0.0
TEST_0028,50,simple,deadline,other,0,0.0,0.0,0,0,0.7564297318458557,587,441,0.0,0.0,0.0,0.0
TEST_0031,51,moderate,deadline,other,1,1.0,1.0,1,1,0.7191316485404968,75,75,1.0,1.0,1.0,1.0
TEST_0030,52,moderate,deadline,other,0,0.3333333333333333,0.5,1,1,0.8260290026664734,720,507,0.0,1.0,1.0,1.0
TEST_0029,53,moderate,definition,other,0,0.0,0.0,1,1,0.7477233409881592,9,373,0.0,0.0,0.0,0.0
TEST_0026,54,simple,deadline,other,1,1.0,1.0,1,1,0.7315704822540283,103,103,1.0,1.0,1.0,1.0
TEST_0027,55,simple,deadline,other,1,1.0,1.0,1,1,0.784087598323822,94,94,1.0,1.0,1.0,1.0
TEST_0025,56,simple,deadline,other,0,0.5,0.6309297535714575,1,1,0.7598145008087158,20,82,0.0,1.0,1.0,1.0
TEST_0129,57,complex,deadline,family_law,0,0.0,0.0,1,1,0.7103762030601501,13,108,0.0,0.0,0.0,0.0
TEST_0143,58,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,0.7621113657951355,579,590,0.0,1.0,1.0,1.0
TEST_0141,59,moderate,deadline,family_law,0,0.0,0.0,0,0,0.6738025546073914,65,298,0.0,0.0,0.0,0.0
TEST_0140,60,moderate,deadline,family_law,0,0.0,0.0,0,0,0.738929808139801,170,328,0.0,0.0,0.0,0.0
TEST_0139,61,moderate,deadline,family_law,0,0.0,0.0,0,0,0.8724981546401978,0,63,0.0,0.0,0.0,0.0
TEST_0152,62,complex,definition,civil_law,0,0.0,0.0,1,1,0.7224867939949036,964,963,0.0,0.0,0.0,0.0
TEST_0151,63,complex,deadline,civil_law,0,0.0,0.0,0,0,0.7420556545257568,428,386,0.0,0.0,0.0,0.0
TEST_0149,64,complex,deadline,civil_law,1,1.0,1.0,1,1,0.7458170056343079,560,560,1.0,1.0,1.0,1.0
TEST_0148,65,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7408199906349182,9,986,0.0,0.0,0.0,0.0
TEST_0146,66,moderate,deadline,family_law,0,0.0,0.0,0,0,0.7808674573898315,279,471,0.0,0.0,0.0,0.0
TEST_0145,67,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,0.6406899690628052,60,620,0.0,1.0,1.0,1.0
TEST_0160,68,simple,deadline,civil_law,1,1.0,1.0,1,1,0.8369054198265076,353,353,1.0,1.0,1.0,1.0
TEST_0157,69,complex,definition,social_law,0,0.5,0.6309297535714575,1,1,0.6756910085678101,955,1044,0.0,1.0,1.0,1.0
TEST_0156,70,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.6813628077507019,358,999,0.0,0.0,1.0,1.0
TEST_0155,71,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.7149006128311157,568,994,0.0,0.0,1.0,1.0
TEST_0154,72,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.7851300239562988,277,290,0.0,1.0,1.0,1.0
TEST_0153,73,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7078068852424622,103,93,0.0,0.0,0.0,0.0
TEST_0104,74,moderate,definition,tax_law,0,0.3333333333333333,0.5,1,1,0.7038525342941284,161,710,0.0,1.0,1.0,1.0
TEST_0103,75,moderate,deadline,tax_law,0,0.2,0.38685280723454163,1,1,0.7312142848968506,483,24,0.0,0.0,1.0,1.0
TEST_0102,76,moderate,definition,tax_law,0,0.0,0.0,1,1,0.5860123634338379,38,766,0.0,0.0,0.0,0.0
TEST_0099,77,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.6841882467269897,207,225,0.0,0.0,0.0,0.0
TEST_0098,78,simple,deadline,administrative_law,1,1.0,1.0,1,1,0.7019565105438232,57,57,1.0,1.0,1.0,1.0
TEST_0112,79,moderate,deadline,civil_law,0,0.125,0.31546487678572877,1,1,0.8011995553970337,271,270,0.0,0.0,0.0,1.0
TEST_0111,80,moderate,definition,civil_law,0,0.0,0.0,1,1,0.7503002285957336,127,126,0.0,0.0,0.0,0.0
TEST_0110,81,moderate,definition,tax_law,1,1.0,1.0,1,1,0.8178099393844604,357,357,1.0,1.0,1.0,1.0
TEST_0109,82,moderate,deadline,tax_law,0,0.0,0.0,1,1,0.7408429384231567,1010,1002,0.0,0.0,0.0,0.0
TEST_0108,83,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.8241161704063416,639,639,1.0,1.0,1.0,1.0
TEST_0107,84,moderate,fact_lookup,tax_law,0,0.0,0.0,1,1,0.6782997846603394,94,753,0.0,0.0,0.0,0.0
TEST_0106,85,moderate,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.7595266103744507,37,683,0.0,1.0,1.0,1.0
TEST_0105,86,moderate,deadline,tax_law,0,0.0,0.0,1,1,0.8222094178199768,722,768,0.0,0.0,0.0,0.0
TEST_0119,87,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.7540115118026733,105,537,0.0,0.0,0.0,0.0
TEST_0116,88,moderate,deadline,civil_law,0,0.0,0.0,0,0,0.6265813112258911,22,109,0.0,0.0,0.0,0.0
TEST_0115,89,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.6900577545166016,512,671,0.0,0.0,0.0,0.0
TEST_0184,90,complex,deadline,tax_law,0,0.0,0.0,1,1,0.6722840666770935,641,954,0.0,0.0,0.0,0.0
TEST_0131,91,complex,deadline,family_law,1,1.0,1.0,1,1,0.8249050378799438,306,306,1.0,1.0,1.0,1.0
TEST_0132,92,complex,deadline,family_law,0,0.1111111111111111,0.3010299956639812,1,1,0.8017836213111877,803,846,0.0,0.0,0.0,1.0
TEST_0133,93,complex,deadline,family_law,0,0.0,0.0,1,1,0.7368330955505371,837,845,0.0,0.0,0.0,0.0
TEST_0135,94,complex,deadline,family_law,0,0.1,0.2890648263178879,1,1,0.8351910710334778,102,364,0.0,0.0,0.0,1.0
TEST_0136,95,complex,definition,family_law,1,1.0,1.0,1,1,0.8768213987350464,478,478,1.0,1.0,1.0,1.0
TEST_0188,96,moderate,deadline,other,0,0.5,0.6309297535714575,1,1,0.8257400989532471,720,873,0.0,1.0,1.0,1.0
TEST_0189,97,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.7917026877403259,817,857,0.0,1.0,1.0,1.0
TEST_0190,98,complex,definition,civil_law,0,0.0,0.0,1,1,0.7439678907394409,586,1003,0.0,0.0,0.0,0.0
TEST_0191,99,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.6739042401313782,950,950,1.0,1.0,1.0,1.0
TEST_0177,100,complex,deadline,tax_law,0,0.2,0.38685280723454163,1,1,0.7737923264503479,155,713,0.0,0.0,1.0,1.0
TEST_0178,101,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7905977368354797,7,255,0.0,0.0,0.0,0.0
TEST_0180,102,complex,deadline,tax_law,0,0.3333333333333333,0.5,1,1,0.7142747044563293,36,799,0.0,1.0,1.0,1.0
TEST_0181,103,complex,deadline,civil_law,1,1.0,1.0,1,1,0.7594724893569946,511,511,1.0,1.0,1.0,1.0
TEST_0182,104,complex,deadline,civil_law,0,0.0,0.0,0,0,0.6938027143478394,17,104,0.0,0.0,0.0,0.0
TEST_0183,105,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.7103762030601501,13,79,0.0,0.0,0.0,0.0
TEST_0162,106,complex,definition,tax_law,0,0.0,0.0,1,1,0.6853474378585815,112,720,0.0,0.0,0.0,0.0
TEST_0169,107,moderate,definition,civil_law,0,0.5,0.6309297535714575,1,1,0.7504783272743225,358,359,0.0,1.0,1.0,1.0
TEST_0170,108,moderate,deadline,other,0,0.1,0.2890648263178879,1,1,0.8408403396606445,224,621,0.0,0.0,0.0,1.0
TEST_0171,109,moderate,definition,tax_law,1,1.0,1.0,1,1,0.7457619309425354,1050,1050,1.0,1.0,1.0,1.0
TEST_0172,110,complex,deadline,civil_law,0,0.0,0.0,1,1,0.6846067309379578,16,395,0.0,0.0,0.0,0.0
TEST_0173,111,complex,definition,tax_law,1,1.0,1.0,1,1,0.7602307796478271,974,974,1.0,1.0,1.0,1.0
TEST_0174,112,simple,definition,tax_law,0,0.0,0.0,1,1,0.68418949842453,7,618,0.0,0.0,0.0,0.0
TEST_0161,113,simple,fact_lookup,civil_law,1,1.0,1.0,1,1,0.7360560894012451,429,429,1.0,1.0,1.0,1.0
TEST_0167,114,moderate,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.7987653017044067,586,583,0.0,0.0,1.0,1.0
TEST_0164,115,moderate,deadline,family_law,0,0.0,0.0,1,1,0.6883507966995239,4,321,0.0,0.0,0.0,0.0
TEST_0165,116,simple,deadline,civil_law,1,1.0,1.0,1,1,0.6919918656349182,432,432,1.0,1.0,1.0,1.0
TEST_0166,117,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7353571057319641,201,609,0.0,0.0,0.0,0.0
TEST_0094,118,simple,deadline,labor_law,1,1.0,1.0,1,1,0.7416415810585022,87,87,1.0,1.0,1.0,1.0
TEST_0093,119,simple,deadline,labor_law,0,0.0,0.0,0,0,0.6748197674751282,18,99,0.0,0.0,0.0,0.0
TEST_0095,120,simple,deadline,labor_law,0,0.1,0.2890648263178879,1,1,0.6957079172134399,18,73,0.0,0.0,0.0,1.0
TEST_0193,121,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.6226947903633118,56,56,1.0,1.0,1.0,1.0
TEST_0208,122,moderate,fact_lookup,civil_law,0,0.0,0.0,1,1,0.7375171184539795,910,900,0.0,0.0,0.0,0.0
TEST_0206,123,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.6583860516548157,542,556,0.0,0.0,0.0,0.0
TEST_0205,124,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.7501450777053833,611,1033,0.0,1.0,1.0,1.0
TEST_0204,125,complex,deadline,tax_law,0,0.2,0.38685280723454163,1,1,0.6814976334571838,714,712,0.0,0.0,1.0,1.0
TEST_0203,126,simple,deadline,civil_law,0,0.0,0.0,1,1,0.6758757829666138,13,337,0.0,0.0,0.0,0.0
TEST_0201,127,moderate,deadline,tax_law,0,0.0,0.0,1,1,0.6731548309326172,105,252,0.0,0.0,0.0,0.0
TEST_0216,128,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.8715591430664062,774,774,1.0,1.0,1.0,1.0
TEST_0214,129,complex,definition,tax_law,0,0.0,0.0,1,1,0.7972466349601746,142,830,0.0,0.0,0.0,0.0
TEST_0213,130,complex,deadline,civil_law,0,0.0,0.0,0,0,0.6285544633865356,16,584,0.0,0.0,0.0,0.0
TEST_0212,131,complex,definition,civil_law,0,0.0,0.0,1,1,0.7790958881378174,37,755,0.0,0.0,0.0,0.0
TEST_0211,132,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7828534245491028,11,889,0.0,0.0,0.0,0.0
TEST_0209,133,simple,definition,civil_law,1,1.0,1.0,1,1,0.7910773754119873,571,571,1.0,1.0,1.0,1.0
TEST_0223,134,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7676342129707336,288,287,0.0,0.0,0.0,0.0
TEST_0222,135,complex,deadline,tax_law,0,0.14285714285714285,0.3333333333333333,1,1,0.6915187835693359,9,1001,0.0,0.0,0.0,1.0
TEST_0220,136,simple,definition,civil_law,0,0.0,0.0,1,1,0.7508223056793213,7,232,0.0,0.0,0.0,0.0
TEST_0219,137,complex,definition,civil_law,1,1.0,1.0,1,1,0.7253817319869995,829,829,1.0,1.0,1.0,1.0
TEST_0218,138,complex,definition,tax_law,0,0.25,0.43067655807339306,1,1,0.7720058560371399,883,882,0.0,0.0,1.0,1.0
TEST_0072,139,complex,deadline,other,0,0.0,0.0,1,1,0.6680147051811218,54,625,0.0,0.0,0.0,0.0
TEST_0071,140,complex,definition,other,0,0.0,0.0,1,1,0.7157696485519409,9,460,0.0,0.0,0.0,0.0
TEST_0070,141,complex,deadline,other,0,0.16666666666666666,0.3562071871080222,1,1,0.7416250109672546,795,839,0.0,0.0,0.0,1.0
TEST_0069,142,complex,deadline,other,0,0.0,0.0,1,1,0.8294489979743958,605,615,0.0,0.0,0.0,0.0
TEST_0080,143,complex,deadline,tax_law,0,0.0,0.0,0,0,0.6650261282920837,36,931,0.0,0.0,0.0,0.0
TEST_0079,144,complex,deadline,migration_law,0,0.0,0.0,1,1,0.8216425180435181,5,832,0.0,0.0,0.0,0.0
TEST_0078,145,complex,deadline,migration_law,0,0.0,0.0,1,1,0.8340449333190918,95,847,0.0,0.0,0.0,0.0
TEST_0077,146,complex,deadline,migration_law,0,0.0,0.0,0,0,0.7042965888977051,74,597,0.0,0.0,0.0,0.0
TEST_0076,147,complex,deadline,migration_law,0,0.0,0.0,1,1,0.6729773283004761,6,850,0.0,0.0,0.0,0.0
TEST_0075,148,complex,deadline,migration_law,1,1.0,1.0,1,1,0.7702077627182007,365,365,1.0,1.0,1.0,1.0
TEST_0074,149,complex,deadline,migration_law,0,0.0,0.0,1,1,0.7055723667144775,53,42,0.0,0.0,0.0,0.0
TEST_0073,150,moderate,deadline,administrative_law,1,1.0,1.0,1,1,0.7743551731109619,896,896,1.0,1.0,1.0,1.0
TEST_0088,151,complex,definition,tax_law,0,0.0,0.0,1,1,0.7622573971748352,739,1046,0.0,0.0,0.0,0.0
TEST_0083,152,complex,definition,tax_law,1,1.0,1.0,1,1,0.7635780572891235,707,707,1.0,1.0,1.0,1.0
TEST_0081,153,complex,deadline,tax_law,0,0.1111111111111111,0.3010299956639812,1,1,0.6994783878326416,88,926,0.0,0.0,0.0,1.0
TEST_0034,154,moderate,deadline,other,0,0.25,0.43067655807339306,1,1,0.8175705671310425,40,436,0.0,0.0,1.0,1.0
TEST_0194,155,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7585532665252686,27,505,0.0,0.0,0.0,0.0
TEST_0195,156,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.732304036617279,650,724,0.0,1.0,1.0,1.0
TEST_0197,157,moderate,definition,civil_law,0,0.0,0.0,1,1,0.6672336459159851,202,315,0.0,0.0,0.0,0.0
TEST_0200,158,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.8026065230369568,946,946,1.0,1.0,1.0,1.0
TEST_0061,159,complex,deadline,labor_law,1,1.0,1.0,1,1,0.7319890260696411,461,461,1.0,1.0,1.0,1.0
TEST_0232,160,moderate,deadline,civil_law,0,0.5,0.9463946303571863,1,1,0.6883665323257446,27,89,0.0,1.0,1.0,1.0
TEST_0059,161,moderate,deadline,social_law,1,1.0,1.0,1,1,0.7461374998092651,1045,1045,1.0,1.0,1.0,1.0
TEST_0239,162,simple,deadline,civil_law,0,0.0,0.0,1,1,0.6027902960777283,310,594,0.0,0.0,0.0,0.0
TEST_0225,163,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.6892650127410889,0,119,0.0,0.0,0.0,0.0
TEST_0228,164,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.7941527366638184,907,885,0.0,1.0,1.0,1.0
TEST_0229,165,complex,definition,civil_law,0,0.0,0.0,1,1,0.7603567838668823,670,669,0.0,0.0,0.0,0.0
TEST_0231,166,moderate,definition,tax_law,0,0.0,0.0,1,1,0.7131539583206177,455,1049,0.0,0.0,0.0,0.0
TEST_0233,167,moderate,deadline,labor_law,0,0.0,0.0,0,0,0.7044277787208557,4,81,0.0,0.0,0.0,0.0
TEST_0238,168,complex,definition,civil_law,0,0.0,0.0,1,1,0.5417450666427612,5,336,0.0,0.0,0.0,0.0
TEST_0236,169,complex,deadline,tax_law,1,1.0,1.0,1,1,0.7266800403594971,862,862,1.0,1.0,1.0,1.0
TEST_0045,170,simple,definition,civil_law,1,1.0,1.0,1,1,0.7701665163040161,985,985,1.0,1.0,1.0,1.0
TEST_0033,171,moderate,deadline,other,0,0.0,0.0,0,0,0.8069303631782532,925,464,0.0,0.0,0.0,0.0
TEST_0047,172,simple,deadline,civil_law,0,0.0,0.0,1,1,0.7416467070579529,105,543,0.0,0.0,0.0,0.0
TEST_0001,173,simple,definition,migration_law,0,0.0,0.0,1,1,0.8234022855758667,259,39,0.0,0.0,0.0,0.0
TEST_0038,174,simple,deadline,education_law,0,0.0,0.0,0,0,0.6648043394088745,176,19,0.0,0.0,0.0,0.0
TEST_0037,175,moderate,deadline,other,1,1.0,1.0,1,1,0.8242915868759155,836,836,1.0,1.0,1.0,1.0
TEST_0036,176,moderate,deadline,other,1,1.0,1.0,1,1,0.6250492334365845,85,85,1.0,1.0,1.0,1.0
TEST_0035,177,moderate,deadline,other,0,0.0,0.0,0,0,0.798137903213501,119,473,0.0,0.0,0.0,0.0
TEST_0050,178,simple,deadline,civil_law,0,0.0,0.0,1,1,0.6591134667396545,1008,1007,0.0,0.0,0.0,0.0
TEST_0054,179,moderate,deadline,health_law,0,0.0,0.0,1,1,0.6755626201629639,316,125,0.0,0.0,0.0,0.0
TEST_0053,180,simple,deadline,civil_law,1,1.0,1.0,1,1,0.8047642111778259,59,59,1.0,1.0,1.0,1.0
TEST_0046,181,simple,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.6496211290359497,3,13,0.0,1.0,1.0,1.0
